Query_ID,Timestamp,Student_ID,Query_Text,Query_Category,Satisfaction_Score,Response_Time,Resolved_Flag
1,01-04-2025 09:05,STU10567,What is the deadline for fee payment?,Technical,4.6,17,No
2,01-04-2025 09:10,STU10568,How can I get a transcript?,Administrative,3.9,10,No
3,01-04-2025 09:15,STU10569,I need help with course selection.,Administrative,4.4,22,Yes
4,01-04-2025 09:20,STU10570,How can I get a transcript?,Administrative,3.7,40,Yes
5,01-04-2025 09:25,STU10571,My grade has not been updated.,Academic,4.8,44,No
6,01-04-2025 09:30,STU10572,How do I register for courses?,Administrative,4.8,23,No
7,01-04-2025 09:35,STU10573,When is the semester starting?,Financial,3,18,No
8,01-04-2025 09:40,STU10574,How can I get a transcript?,Administrative,3.6,21,No
9,01-04-2025 09:45,STU10575,How can I get a transcript?,Academic,3.1,17,Yes
10,01-04-2025 09:50,STU10576,I need help with course selection.,Academic,3.7,35,No
11,01-04-2025 09:55,STU10577,What is the deadline for fee payment?,Administrative,3.8,38,No
12,01-04-2025 10:00,STU10578,When is the semester starting?,Financial,4.9,36,No
13,01-04-2025 10:05,STU10579,How do I register for courses?,Administrative,3.4,24,Yes
14,01-04-2025 10:10,STU10580,I cannot access my student portal.,Academic,4.9,42,No
15,01-04-2025 10:15,STU10581,When is the semester starting?,Administrative,3.2,12,No
16,01-04-2025 10:20,STU10582,My grade has not been updated.,Technical,3.7,17,Yes
17,01-04-2025 10:25,STU10583,Is there any scholarship available?,Financial,4.9,21,No
18,01-04-2025 10:30,STU10584,Website shows error 404.,Academic,3.7,28,No
19,01-04-2025 10:35,STU10585,Website shows error 404.,Administrative,3.9,21,Yes
20,01-04-2025 10:40,STU10586,I need help with course selection.,Administrative,3.2,37,Yes
21,01-04-2025 10:45,STU10587,I cannot access my student portal.,Administrative,3.6,37,Yes
22,01-04-2025 10:50,STU10588,My grade has not been updated.,Administrative,4.6,36,No
23,01-04-2025 10:55,STU10589,I cannot access my student portal.,Administrative,4.1,42,Yes
24,01-04-2025 11:00,STU10590,"I forgot my password, need assistance.",Academic,4.1,34,Yes
25,01-04-2025 11:05,STU10591,Website shows error 404.,Financial,4.2,17,No
26,01-04-2025 11:10,STU10592,"I forgot my password, need assistance.",Academic,3.6,21,No
27,01-04-2025 11:15,STU10593,"I forgot my password, need assistance.",Administrative,4.5,23,No
28,01-04-2025 11:20,STU10594,My grade has not been updated.,Administrative,4.8,40,No
29,01-04-2025 11:25,STU10595,I cannot access my student portal.,Academic,3.2,37,No
30,01-04-2025 11:30,STU10596,When is the semester starting?,Administrative,3.1,37,Yes
31,01-04-2025 11:35,STU10597,I cannot access my student portal.,Technical,4.9,22,No
32,01-04-2025 11:40,STU10598,I need help with course selection.,Financial,4.7,16,No
33,01-04-2025 11:45,STU10599,What is the deadline for fee payment?,Technical,3.9,12,No
34,01-04-2025 11:50,STU10600,How can I get a transcript?,Technical,3.7,30,Yes
35,01-04-2025 11:55,STU10601,I cannot access my student portal.,Administrative,4.4,42,No
36,01-04-2025 12:00,STU10602,Website shows error 404.,Technical,4.4,27,No
37,01-04-2025 12:05,STU10603,How do I register for courses?,Academic,3.5,20,No
38,01-04-2025 12:10,STU10604,I need help with course selection.,Financial,4.3,37,Yes
39,01-04-2025 12:15,STU10605,"I forgot my password, need assistance.",Administrative,3,10,Yes
40,01-04-2025 12:20,STU10606,When is the semester starting?,Financial,4.2,40,Yes
41,01-04-2025 12:25,STU10607,My grade has not been updated.,Financial,4.2,32,Yes
42,01-04-2025 12:30,STU10608,How can I get a transcript?,Technical,3.6,38,Yes
43,01-04-2025 12:35,STU10609,I cannot access my student portal.,Academic,3.8,18,Yes
44,01-04-2025 12:40,STU10610,How do I register for courses?,Academic,3.9,43,No
45,01-04-2025 12:45,STU10611,How can I get a transcript?,Academic,4,27,No
46,01-04-2025 12:50,STU10612,I need help with course selection.,Financial,3.2,17,No
47,01-04-2025 12:55,STU10613,"I forgot my password, need assistance.",Academic,4.1,20,Yes
48,01-04-2025 13:00,STU10614,How do I register for courses?,Financial,4,17,Yes
49,01-04-2025 13:05,STU10615,"I forgot my password, need assistance.",Financial,3.2,16,Yes
50,01-04-2025 13:10,STU10616,How do I register for courses?,Technical,4.5,11,No
51,01-04-2025 13:15,STU10617,Is there any scholarship available?,Technical,3.5,36,Yes
52,01-04-2025 13:20,STU10618,I cannot access my student portal.,Administrative,3.9,18,No
53,01-04-2025 13:25,STU10619,Website shows error 404.,Academic,4.3,37,Yes
54,01-04-2025 13:30,STU10620,Is there any scholarship available?,Financial,3.9,23,No
55,01-04-2025 13:35,STU10621,"I forgot my password, need assistance.",Financial,3,28,No
56,01-04-2025 13:40,STU10622,How do I register for courses?,Financial,3.4,10,Yes
57,01-04-2025 13:45,STU10623,Website shows error 404.,Financial,3.2,17,No
58,01-04-2025 13:50,STU10624,What is the deadline for fee payment?,Technical,3.9,23,Yes
59,01-04-2025 13:55,STU10625,Is there any scholarship available?,Academic,4.7,22,Yes
60,01-04-2025 14:00,STU10626,When is the semester starting?,Financial,4.5,23,No
61,01-04-2025 14:05,STU10627,"I forgot my password, need assistance.",Technical,4.1,14,Yes
62,01-04-2025 14:10,STU10628,When is the semester starting?,Technical,4.2,37,Yes
63,01-04-2025 14:15,STU10629,My grade has not been updated.,Administrative,4,29,No
64,01-04-2025 14:20,STU10630,How can I get a transcript?,Administrative,4.9,17,No
65,01-04-2025 14:25,STU10631,How can I get a transcript?,Technical,4.2,34,Yes
66,01-04-2025 14:30,STU10632,Website shows error 404.,Academic,4.3,43,Yes
67,01-04-2025 14:35,STU10633,I need help with course selection.,Financial,4.9,36,Yes
68,01-04-2025 14:40,STU10634,What is the deadline for fee payment?,Financial,3,42,Yes
69,01-04-2025 14:45,STU10635,Is there any scholarship available?,Academic,4.3,28,Yes
70,01-04-2025 14:50,STU10636,My grade has not been updated.,Technical,3.8,10,Yes
71,01-04-2025 14:55,STU10637,What is the deadline for fee payment?,Financial,4.8,40,No
72,01-04-2025 15:00,STU10638,I cannot access my student portal.,Administrative,4.3,35,Yes
73,01-04-2025 15:05,STU10639,I need help with course selection.,Financial,4,39,No
74,01-04-2025 15:10,STU10640,How can I get a transcript?,Technical,4.7,24,Yes
75,01-04-2025 15:15,STU10641,How do I register for courses?,Academic,4.9,22,Yes
76,01-04-2025 15:20,STU10642,How do I register for courses?,Financial,4.1,43,Yes
77,01-04-2025 15:25,STU10643,What is the deadline for fee payment?,Financial,4.6,32,No
78,01-04-2025 15:30,STU10644,What is the deadline for fee payment?,Administrative,3.5,21,Yes
79,01-04-2025 15:35,STU10645,I need help with course selection.,Financial,3.3,20,Yes
80,01-04-2025 15:40,STU10646,I cannot access my student portal.,Administrative,3.3,19,Yes
81,01-04-2025 15:45,STU10647,My grade has not been updated.,Financial,3.3,20,Yes
82,01-04-2025 15:50,STU10648,My grade has not been updated.,Technical,3.1,27,Yes
83,01-04-2025 15:55,STU10649,"I forgot my password, need assistance.",Technical,4.8,13,No
84,01-04-2025 16:00,STU10650,I need help with course selection.,Financial,4.3,15,Yes
85,01-04-2025 16:05,STU10651,Is there any scholarship available?,Administrative,3.3,12,Yes
86,01-04-2025 16:10,STU10652,"I forgot my password, need assistance.",Administrative,3.7,11,Yes
87,01-04-2025 16:15,STU10653,I cannot access my student portal.,Academic,4.9,40,No
88,01-04-2025 16:20,STU10654,How can I get a transcript?,Financial,4.7,22,Yes
89,01-04-2025 16:25,STU10655,How do I register for courses?,Academic,3.6,34,No
90,01-04-2025 16:30,STU10656,I need help with course selection.,Financial,4.2,43,No
91,01-04-2025 16:35,STU10657,"I forgot my password, need assistance.",Technical,4,28,Yes
92,01-04-2025 16:40,STU10658,"I forgot my password, need assistance.",Technical,4.5,15,Yes
93,01-04-2025 16:45,STU10659,When is the semester starting?,Administrative,4.3,24,No
94,01-04-2025 16:50,STU10660,When is the semester starting?,Financial,3.2,11,Yes
95,01-04-2025 16:55,STU10661,How do I register for courses?,Administrative,3.7,33,Yes
96,01-04-2025 17:00,STU10662,I cannot access my student portal.,Financial,3.3,30,Yes
97,01-04-2025 17:05,STU10663,How do I register for courses?,Academic,3.4,42,Yes
98,01-04-2025 17:10,STU10664,When is the semester starting?,Administrative,4.4,32,No
99,01-04-2025 17:15,STU10665,Website shows error 404.,Academic,4,43,Yes
100,01-04-2025 17:20,STU10666,"I forgot my password, need assistance.",Financial,5,13,No
101,01-04-2025 17:25,STU10667,How can I get a transcript?,Administrative,3,22,No
102,01-04-2025 17:30,STU10668,How can I get a transcript?,Administrative,4.1,32,Yes
103,01-04-2025 17:35,STU10669,I cannot access my student portal.,Financial,4.5,27,No
104,01-04-2025 17:40,STU10670,I need help with course selection.,Academic,4.6,26,Yes
105,01-04-2025 17:45,STU10671,How can I get a transcript?,Administrative,4.9,42,No
106,01-04-2025 17:50,STU10672,When is the semester starting?,Administrative,3.1,10,Yes
107,01-04-2025 17:55,STU10673,What is the deadline for fee payment?,Technical,3.4,22,No
108,01-04-2025 18:00,STU10674,I cannot access my student portal.,Academic,4.5,16,No
109,01-04-2025 18:05,STU10675,How do I register for courses?,Technical,3.2,41,Yes
110,01-04-2025 18:10,STU10676,How can I get a transcript?,Administrative,4,25,Yes
111,01-04-2025 18:15,STU10677,Website shows error 404.,Administrative,4.3,11,Yes
112,01-04-2025 18:20,STU10678,Website shows error 404.,Technical,4.1,39,No
113,01-04-2025 18:25,STU10679,How do I register for courses?,Technical,4.8,31,Yes
114,01-04-2025 18:30,STU10680,How do I register for courses?,Technical,3.1,20,Yes
115,01-04-2025 18:35,STU10681,Website shows error 404.,Financial,4.6,16,Yes
116,01-04-2025 18:40,STU10682,How do I register for courses?,Administrative,4.7,42,Yes
117,01-04-2025 18:45,STU10683,What is the deadline for fee payment?,Administrative,3.2,16,Yes
118,01-04-2025 18:50,STU10684,I cannot access my student portal.,Financial,3.2,24,Yes
119,01-04-2025 18:55,STU10685,"I forgot my password, need assistance.",Technical,3.2,41,Yes
120,01-04-2025 19:00,STU10686,How do I register for courses?,Financial,4.6,11,Yes
121,01-04-2025 19:05,STU10687,My grade has not been updated.,Technical,4.3,36,Yes
122,01-04-2025 19:10,STU10688,What is the deadline for fee payment?,Technical,4.8,32,No
123,01-04-2025 19:15,STU10689,"I forgot my password, need assistance.",Technical,5,15,No
124,01-04-2025 19:20,STU10690,I need help with course selection.,Financial,4,10,No
125,01-04-2025 19:25,STU10691,How do I register for courses?,Financial,4.1,43,Yes
126,01-04-2025 19:30,STU10692,I cannot access my student portal.,Technical,4.7,11,No
127,01-04-2025 19:35,STU10693,How do I register for courses?,Technical,4.5,38,No
128,01-04-2025 19:40,STU10694,Is there any scholarship available?,Administrative,3.1,25,No
129,01-04-2025 19:45,STU10695,I cannot access my student portal.,Administrative,3.9,26,No
130,01-04-2025 19:50,STU10696,My grade has not been updated.,Academic,3.2,40,No
131,01-04-2025 19:55,STU10697,Website shows error 404.,Financial,4.8,43,No
132,01-04-2025 20:00,STU10698,How can I get a transcript?,Administrative,5,19,No
133,01-04-2025 20:05,STU10699,I need help with course selection.,Technical,3.4,36,Yes
134,01-04-2025 20:10,STU10700,I cannot access my student portal.,Technical,4,41,Yes
135,01-04-2025 20:15,STU10701,How can I get a transcript?,Technical,4.4,32,Yes
136,01-04-2025 20:20,STU10702,I cannot access my student portal.,Administrative,3.3,39,No
137,01-04-2025 20:25,STU10703,What is the deadline for fee payment?,Administrative,3.3,14,No
138,01-04-2025 20:30,STU10704,My grade has not been updated.,Financial,4.5,16,No
139,01-04-2025 20:35,STU10705,When is the semester starting?,Administrative,3.3,29,No
140,01-04-2025 20:40,STU10706,I cannot access my student portal.,Administrative,4.8,25,No
141,01-04-2025 20:45,STU10707,What is the deadline for fee payment?,Academic,4.8,43,Yes
142,01-04-2025 20:50,STU10708,I cannot access my student portal.,Administrative,4.5,22,No
143,01-04-2025 20:55,STU10709,When is the semester starting?,Academic,3.5,33,Yes
144,01-04-2025 21:00,STU10710,Is there any scholarship available?,Academic,4.5,23,No
145,01-04-2025 21:05,STU10711,I cannot access my student portal.,Administrative,4.7,27,No
146,01-04-2025 21:10,STU10712,How can I get a transcript?,Technical,4.4,34,No
147,01-04-2025 21:15,STU10713,I cannot access my student portal.,Technical,4.7,15,No
148,01-04-2025 21:20,STU10714,Is there any scholarship available?,Technical,4.3,31,No
149,01-04-2025 21:25,STU10715,How can I get a transcript?,Financial,3,11,Yes
150,01-04-2025 21:30,STU10716,My grade has not been updated.,Academic,3.9,15,No
151,01-04-2025 21:35,STU10717,"I forgot my password, need assistance.",Technical,4.8,27,No
152,01-04-2025 21:40,STU10718,I cannot access my student portal.,Academic,3.8,38,No
153,01-04-2025 21:45,STU10719,"I forgot my password, need assistance.",Technical,3,26,No
154,01-04-2025 21:50,STU10720,What is the deadline for fee payment?,Administrative,3.6,40,No
155,01-04-2025 21:55,STU10721,When is the semester starting?,Administrative,3.7,34,Yes
156,01-04-2025 22:00,STU10722,How can I get a transcript?,Academic,4.3,14,Yes
157,01-04-2025 22:05,STU10723,I cannot access my student portal.,Technical,3.9,18,Yes
158,01-04-2025 22:10,STU10724,When is the semester starting?,Financial,4.4,36,No
159,01-04-2025 22:15,STU10725,Is there any scholarship available?,Technical,4,20,No
160,01-04-2025 22:20,STU10726,What is the deadline for fee payment?,Technical,3.2,14,Yes
161,01-04-2025 22:25,STU10727,Is there any scholarship available?,Academic,3.3,28,No
162,01-04-2025 22:30,STU10728,"I forgot my password, need assistance.",Financial,3.6,10,No
163,01-04-2025 22:35,STU10729,Is there any scholarship available?,Academic,4.9,42,Yes
164,01-04-2025 22:40,STU10730,I cannot access my student portal.,Administrative,4.1,28,Yes
