Query_ID,Timestamp,Student_ID,Query_Text,Query_Category,Satisfaction_Score,Response_Time,Resolved_Flag
1,2025-04-01 09:05:00,1069,What is the deadline for fee payment?,Technical,4.6,17,No
2,2025-04-01 09:10:00,1021,How can I get a transcript?,Administrative,3.9,10,No
3,2025-04-01 09:15:00,1060,I need help with course selection.,Administrative,4.4,22,Yes
4,2025-04-01 09:20:00,1057,How can I get a transcript?,Administrative,3.7,40,Yes
5,2025-04-01 09:25:00,1073,My grade has not been updated.,Academic,4.8,44,No
6,2025-04-01 09:30:00,1015,How do I register for courses?,Administrative,4.8,23,No
7,2025-04-01 09:35:00,1034,When is the semester starting?,Financial,3.0,18,No
8,2025-04-01 09:40:00,1073,How can I get a transcript?,Administrative,3.6,21,No
9,2025-04-01 09:45:00,1090,How can I get a transcript?,Academic,3.1,17,Yes
10,2025-04-01 09:50:00,1052,I need help with course selection.,Academic,3.7,35,No
11,2025-04-01 09:55:00,1048,What is the deadline for fee payment?,Administrative,3.8,38,No
12,2025-04-01 10:00:00,1034,When is the semester starting?,Financial,4.9,36,No
13,2025-04-01 10:05:00,1011,How do I register for courses?,Administrative,3.4,24,Yes
14,2025-04-01 10:10:00,1032,I cannot access my student portal.,Academic,4.9,42,No
15,2025-04-01 10:15:00,1056,When is the semester starting?,Administrative,3.2,12,No
16,2025-04-01 10:20:00,1076,My grade has not been updated.,Technical,3.7,17,Yes
17,2025-04-01 10:25:00,1063,Is there any scholarship available?,Financial,4.9,21,No
18,2025-04-01 10:30:00,1004,Website shows error 404.,Academic,3.7,28,No
19,2025-04-01 10:35:00,1084,Website shows error 404.,Administrative,3.9,21,Yes
20,2025-04-01 10:40:00,1052,I need help with course selection.,Administrative,3.2,37,Yes
21,2025-04-01 10:45:00,1018,I cannot access my student portal.,Administrative,3.6,37,Yes
22,2025-04-01 10:50:00,1062,My grade has not been updated.,Administrative,4.6,36,No
23,2025-04-01 10:55:00,1011,I cannot access my student portal.,Administrative,4.1,42,Yes
24,2025-04-01 11:00:00,1052,"I forgot my password, need assistance.",Academic,4.1,34,Yes
25,2025-04-01 11:05:00,1083,Website shows error 404.,Financial,4.2,17,No
26,2025-04-01 11:10:00,1001,"I forgot my password, need assistance.",Academic,3.6,21,No
27,2025-04-01 11:15:00,1049,"I forgot my password, need assistance.",Administrative,4.5,23,No
28,2025-04-01 11:20:00,1002,My grade has not been updated.,Administrative,4.8,40,No
29,2025-04-01 11:25:00,1012,I cannot access my student portal.,Academic,3.2,37,No
30,2025-04-01 11:30:00,1051,When is the semester starting?,Administrative,3.1,37,Yes
31,2025-04-01 11:35:00,1051,I cannot access my student portal.,Technical,4.9,22,No
32,2025-04-01 11:40:00,1067,I need help with course selection.,Financial,4.7,16,No
33,2025-04-01 11:45:00,1083,What is the deadline for fee payment?,Technical,3.9,12,No
34,2025-04-01 11:50:00,1016,How can I get a transcript?,Technical,3.7,30,Yes
35,2025-04-01 11:55:00,1086,I cannot access my student portal.,Administrative,4.4,42,No
